42257,"AE-0001","small_airport","Batha Airport",24.214693,51.44989,,"AS","SA","SA-04","Batha","yes","OEBT",,,,,"Ras Sumeira UAE,"
40810,"AGI","small_airport","El Paraíso Airport",8.128611,-73.584722,303,"SA","CO","CO-CES","Aguachica","no",,,"AGI",,,
35333,"AR-0001","small_airport","Cullen Airport",-52.885101318359375,-68.41220092773438,132,"SA","AR","AR-V","Cullen","no",,,,,,
35334,"AR-0002","small_airport","Los Cerros Airport",-54.34410095214844,-67.83290100097656,1914,"SA","AR","AR-V","Los Cerros","no",,,,,,
35335,"AR-0003","small_airport","Rio Bellavista Airport",-53.98270034790039,-68.52359771728516,201,"SA","AR","AR-V","Rio Bellavista","no",,,,,,
35398,"AR-0004","small_airport","Merlo Airport",-32.35820007324219,-65.01740264892578,796,"SA","AR","AR-D","Merlo","yes",,,"RLO",,,
35399,"AR-0005","small_airport","Bragado Airport",-35.144,-60.4803,196,"SA","AR","AR-B","Bragado","no",,"QRF","BRA",,,
35400,"AR-0006","closed","[Duplicate] Brigadier Hector Ruiz Airport",-37.4333000183,-61.8833007812,228,"SA","AR","AR-B","Coronel Suarez","no",,"CSZ",,,,
35401,"AR-0007","small_airport","Caleta Olivia Airport",-46.4318008423,-67.5186004639,37,"SA","AR","AR-Z","Caleta Olivia","no",,"CVI","CAO",,,
42798,"AR-0008","small_airport","Aeroclub Chaco Airport",-27.6311,-59.1797,164,"SA","AR","AR-H","Resistencia","no",,,"RES",,,
35403,"AR-0009","small_airport","Charata Airport",-27.2164,-61.2103,318,"SA","AR","AR-H","Charata","no",,"CNT","CHA",,,
35404,"AR-0010","small_airport","General Villegas Airport",-35,-63,383,"SA","AR","AR-B","General Villegas","no",,"VGS","GAS",,,
35405,"AR-0011","small_airport","Los Menucos Airport",-40.817699,-68.074699,2571,"SA","AR","AR-R","Los Menucos","no",,"LMD","MCO",,,
42799,"AR-0012","small_airport","Aerofumigaciones Don Alejandro Airport",-33.3053,-60.6539,170,"SA","AR","AR-S","Coronel Bogado","no",,,"OGB",,,
42800,"AR-0013","small_airport","Agro Servicio Yoris Airport",-26.583055,-64.529724,1043,"SA","AR","AR-T","Gobernador Garmendia","no",,,"GYT","http://www.asysrl.com.ar/",,
42801,"AR-0014","small_airport","Agroaire Airport",-27.4978,-61.6586,377,"SA","AR","AR-H","Gancedo","no",,,"GAI",,,
35409,"AR-0015","closed","Saenz Peña Airport",-26.815799713134766,-60.448299407958984,20,"SA","AR","AR-H","Presidencia Roque Sáenz Peña","no",,"SZQ",,,,
35410,"AR-0016","closed","(Old) Antoine De Saint Exupery Airport",-40.7401008606,-64.9804992676,85,"SA","AR","AR-R","San Antonio Oeste","no",,,"OES",,,
35412,"AR-0017","small_airport","Valcheta Airport",-40.7000007629,-66.1500015259,629,"SA","AR","AR-R","Valcheta","no",,"VCF","VAL",,,
35413,"AR-0018","small_airport","Villa Mercedes Airport",-33.640858,-65.420074,1689,"SA","AR","AR-D","Villa Mercedes","no",,,"CED",,,
38694,"AR-0019","small_airport","13 De Diciembre Airport",-45.9033,-67.5564,170,"SA","AR","AR-U","Comodoro Rivadavia","no",,,"ICO",,,
38695,"AR-0020","heliport","Abel Monteverde Heliport",-32.9208,-62.4663,2646,"SA","AR","AR-X","Monte Buey","no",,,"HMB",,,
38696,"AR-0021","small_airport","Acindar Airport",-33.2647,-60.2842,82,"SA","AR","AR-S","Villa Constitución","no",,,"ION",,,
38697,"AR-0022","small_airport","Aeroboero Airport",-30.7286,-62.0078,314,"SA","AR","AR-X","Morteros","no",,,"BOE",,,
38698,"AR-0023","small_airport","Bahia Blanca Aeroclub Airport",-38.6722,-62.3522,49,"SA","AR","AR-B","Bahia Blanca","no",,,"BHB",,,
38699,"AR-0024","small_airport","Balcarce Aeroclub Airport",-37.9156,-58.3442,393,"SA","AR","AR-B","Balcarce","no",,,"BAL",,,
38700,"AR-0025","small_airport","Cipoletti Aeroclub Airport",-38.8931007385,-67.9886016846,885,"SA","AR","AR-R","Cipoletti","no","SAHI",,"CIP",,,
38701,"AR-0026","small_airport","Olavarria Aeroclub Airport",-36.9644012451,-60.2757987976,606,"SA","AR","AR-B","Olavarria","no",,,"OLC",,,
38702,"AR-0027","small_airport","Rauch Airport",-36.7717,-59.0575,308,"SA","AR","AR-B","Rauch","no",,,"RAU",,,
38703,"AR-0028","small_airport","Tandil Aeroclub Airport",-37.26559829711914,-59.093299865722656,583,"SA","AR","AR-B","Tandil","no",,,,,,
38704,"AR-0029","small_airport","Aerotec Airport",-33.206943512,-68.492225647,2181,"SA","AR","AR-M","Rivadavia","no",,,"RAE",,,
38705,"AR-0030","small_airport","Alagro Fumigaciones Airport",-32.8878,-60.8436,114,"SA","AR","AR-S","Funes","no",,,"UNE",,,
38706,"AR-0031","small_airport","San Andres De Giles Airport",-34.4703,-59.4247,167,"SA","AR","AR-B","San Andres de Giles","no",,,"GIL",,,
38707,"AR-0032","small_airport","Alejandro Roca Airport",-33.3488998413,-63.7299995422,688,"SA","AR","AR-X","Alejandro Roca","no",,,"ALR",,,
38708,"AR-0033","small_airport","Alfredo Sanchez Airport",-34.8011,-61.865,328,"SA","AR","AR-B","General Pinto","no",,,"SEZ",,,
38709,"AR-0034","small_airport","Algarrobo/La Reforma Airport",-38.7306,-63.2869,219,"SA","AR","AR-B","Bahia Blanca","no",,,"BRF",,,
