Pin,,AbnBrg,57.0702167,-2.7873167,450,,,Aboyne Bridge - Road Br over R Dee
Pin,,AbbtsB,52.813,-1.9099,328,,,Abbot's Bromley - Reservoir/B5013 E
Pin,,AbnDnn,57.0716833,-2.88995,492,,,Aboyne Dinnet - B9119/River Bridge
Pin,,Abrgvn,51.8095833,-3.0097833,230,,,Abergavenny - A465/A40 R'bt
Pin,,Abrfld,56.6211667,-3.8738,197,,,Aberfeldy - B846/River Tay
Pin,,Abngtn,55.5034333,-3.6957667,853,,,Abington - M74/A702/A73
Pin,,Aberfl,56.1786167,-4.3845,66,,,Aberfoyle - A821/B829
Pin,,Abngdn,51.6686667,-1.2794333,164,,,Abingdon Bridge - A415 br over River Thames
Pin,,Aboyne,57.07525,-2.84285,460,,,Aboyne - Clubhouse
Pin,,Abrchr,57.5585333,-2.6300333,394,,,Aberchirder - A97/B9023
Pin,,Aberga,51.8004167,-3.06035,1833,,,Abergavenny SW - 1833ft Trig point
Pin,,Abrstw,52.4163333,-4.0881833,15,,,Aberystwyth Pier - Sea end
Pin,,Alcnbr,52.3786667,-0.2554167,160,,,Alconbury - A1/A14
Pin,,Accrng,53.7813833,-2.3291333,395,,,Accrington NE - M65 J8 with A56
Pin,,Achnsh,57.5782333,-5.0801667,510,,,Achnasheen - A832/A890
Pin,,Achnbr,58.488,-4.2128,115,,,Achnabourin - A836/B871
Pin,,Fin_N,51.7144333,-2.1244333,600,,,Aston Down Finish N - Centre of finish line
Pin,,Fin_S,51.7002667,-2.1383333,600,,,Aston Down Finish S - Centre of finish line
Pin,,AbrdrS,51.7003833,-3.4157167,394,,,Aberdare SE - Bridge
Pin,,Andvrs,51.8757833,-1.9642167,541,,,Andoversford - A436/A40
Pin,,Abrdrn,52.80455,-4.7120333,33,,,Aberdaron - River bridge
Pin,,Alfrst,50.8116333,0.1622333,30,,,Alfriston Bridge - River Bridge
Pin,,Alford,57.2378667,-2.72545,492,,,Alford - A944/A980
Pin,,AbrglS,53.2520667,-3.5960833,509,,,Abergele South - A548/B5381
Pin,,Altnhr,58.2868333,-4.4429667,255,,,Altnaharra - A836 river br
Pin,,Alnwck,55.4066,-1.68115,134,,,Alnwick E - A1/A1068
Pin,,AlnBrg,55.4053833,-1.8632167,195,,,Aln Bridge - A697/River Aln
Pin,,Alcstr,52.2073,-1.8773333,148,,,Alcester - River/A46
Pin,,Aylshm,51.2281,1.2090667,272,,,Aylesham - Station
Pin,,Alfrtn,53.1012,-1.3244333,253,,,Alfreton - M1 J28/A38
Pin,,Allndl,54.8966,-2.2586833,709,,,Allendale Bridge - River Bridge
Pin,,Alnwic,55.34985,-1.8463167,653,,,Alnwick Moor SW - A697/B6341
Pin,,Alston,54.8096,-2.44245,885,,,Alston - A689 Br over R South Tyne
Pin,,Aberlr,57.4703667,-3.2319167,335,,,Aberlour - Spey Bridge
Pin,,Alfret,53.0579167,-1.4174667,236,,,Alfreton South - A38/A610
Pin,,Alton,51.1511833,-0.9675333,479,,,Alton - Station Bridge W
Pin,,Alva,56.1527667,-3.7986,102,,,Alva - A91/B908
Pin,,AltnSt,51.1321833,-0.9948167,551,,,Alton Southwest - A31/A32 r'bt
Pin,,Alyth,56.6165333,-3.2117833,295,,,Alyth - A926/B954
Pin,,Amberl,50.8969333,-0.5423,151,,,Amberley - Rail/B2139
Pin,,Amblsd,54.4265667,-2.9691667,135,,,Ambleside - A593 Bridge
Pin,,Amulre,56.5102,-3.78835,883,,,Amulree - A822/River Br
Pin,,AndvrS,51.2011,-1.5073167,249,,,Andover SW - A303/A343
Pin,,Andove,51.2004833,-1.4500667,410,,,Andover SE - A303/Andover bypass E
Pin,,AnstCr,50.8316667,-2.32875,530,,,Ansty Cross - Crossroads
Pin,,Appleb,54.5878667,-2.499,525,,,Appleby - Rail/A66
Pin,,Ardvsr,57.0647167,-5.8935833,10,,,Ardvasar - Pier sea end
Pin,,Ardrsh,56.0123,-5.4441,10,,,Ardrishaig Lighthouse - Lighthouse
Pin,,Arundl,50.8568833,-0.55505,125,,,Arundel - Castle Keep
Pin,,Ashbur,51.5638833,-1.6182333,374,,,Ashbury - B4000/B4507
Pin,,Ashfrd,51.13715,0.9106667,400,,,Ashford East - M20 J10/A20
Pin,,Ashbrn,53.00035,-1.6970333,574,,,Ashbourne - A/F SE end R/W 32
Pin,,Aspatr,54.75915,-3.3317333,164,,,Aspatria - Rail Station
Pin,,Ashfor,51.0682,0.85465,315,,,Ashford South - A2070/Rail Bridge
Pin,,AstnDw,51.7059667,-2.1319333,600,,,Aston Down - R/Ws 26/20
Pin,,ArdrSt,55.8412,-4.02455,151,,,Airdrie Southwest - A725 bridge over A8
Pin,,Ashley,52.9197167,-2.3906667,640,,,Ashley - A53/B502
Pin,,Athrst,52.58035,-1.5539833,318,,,Atherstone - A5/Rail Bridge
Pin,,Attlbr,52.5213167,1.0106333,164,,,Attleborough - A11 Br over B1077
Pin,,AltnTw,52.98055,-1.8945167,217,,,Alton Towers - River/Road Bridge
Pin,,Aldgrt,55.15915,-3.7077667,115,,,Auldgirth - Bridge
Pin,,Avebur,51.4193167,-1.8747,335,,,Avebury - A4/A361R'bout
Pin,,Axmnst,50.77985,-3.0044667,236,,,Axminster - Station/Road Br
