AB1,AB1,bga_wp,Aboyne Bridge,57.070217,-2.787317,450,Road Br over R Dee,"S side of village where B968 crosses R. Dee, 2NMl E of airfield, under CTA base 3000"
ABB,ABB,bga_wp,Abbot's Bromley,52.813,-1.9099,328,Reservoir/B5013 E,"E end of B5013 crossing water, 1.5 NMl W of town."
ABD,ABD,bga_wp,Aboyne Dinnet,57.071683,-2.88995,492,B9119/River Bridge,Bridge over river Dee joining roads running N & S of river 2 NML W of gliding site.
ABE,ABE,bga_wp,Abergavenny,51.809583,-3.009783,230,A465/A40 R'bt,"SSE side of town 600m E of river, 100m W of rly."
ABF,ABF,bga_wp,Aberfeldy,56.621167,-3.8738,197,B846/River Tay,"Bridge NW of town towards Weem village, N of A827"
ABI,ABI,bga_wp,Abington,55.503433,-3.695767,853,M74/A702/A73,A702 Flyover over M74 at J13 (Abington Services). N side of village 10 NMlSSE of Lanark
ABL,ABL,bga_wp,Aberfoyle,56.178617,-4.3845,66,A821/B829,T Junction W of town where A821 goes N towards Loch Katrine
ABN,ABN,bga_wp,Abingdon Bridge,51.668667,-1.279433,164,A415 br over River Thames,SE side of town just S of church tower.  Small island is in middle of bridge.
ABO,ABO,bga_wp,Aboyne,57.07525,-2.84285,460,Clubhouse,"Deeside GC site, 1.5 NMl W of Aboyne village & CTA base 3000 ft"
ABR,ABR,bga_wp,Aberchirder,57.558533,-2.630033,394,A97/B9023,T junction SW side of town.  6 NMl W of Turriff
ABS,ABS,bga_wp,Abergavenny SW,51.800417,-3.06035,1833,1833ft Trig point,"2nm SW of Abergavenny, top of mountain called Blorenge.  Point intended for ridge soaring cross-countries, watch for hang gliders"
ABY,ABY,bga_wp,Aberystwyth Pier,52.416333,-4.088183,15,Sea end,W side of town.  Note laser area centred 1 NMl E of pier
ACB,ACB,bga_wp,Alconbury,52.378667,-0.255417,160,A1/A14,Flyover where A14 goes over A1 4NMl NNW of Huntingdon
ACC,ACC,bga_wp,Accrington NE,53.781383,-2.329133,395,M65 J8 with A56,Bet Accrington & Burnley.  TMA to S
ACH,ACH,bga_wp,Achnasheen,57.578233,-5.080167,510,A832/A890,Roundabout SW side of village
ACN,ACN,bga_wp,Achnabourin,58.488,-4.2128,115,A836/B871,T Junction 2 NML S of Bettyhill on N coast of Scotland.  150m W of River Naver
AD1,AD1,bga_wp,Aston Down Finish N,51.714433,-2.124433,600,Centre of finish line,"N side of airfield, just S of A419"
AD2,AD2,bga_wp,Aston Down Finish S,51.700267,-2.138333,600,Centre of finish line,S side of airfield
