1,UHMI,msfs_airport,Mys Shmidta Airport,68.8685760498047,-179.375534057617,18.0,32 14
3,PALU,msfs_airport,Cape Lisburne LRRS,68.875129699707,-166.111083984375,13.0,09 27
4,PAPO,msfs_airport,Point Hope,68.3487548828125,-166.799270629883,18.0,01 19
7,Z53,msfs_airport,Cape Sabine,69.0239486694336,-163.858062744141,56.0,21 03
8,PPIZ,msfs_airport,Point Lay LRRS,69.7328872680664,-163.005340576172,23.0,05 23
9,2AK8,msfs_airport,Icy Cape AFS,70.2924880981445,-161.903335571289,48.0,21 03
10,PAVL,msfs_airport,Kivalina,67.7361373901367,-164.563507080078,17.0,30 12
11,PADG,msfs_airport,Red Dog,68.032112121582,-162.899200439453,968.0,03 21
12,PAWN,msfs_airport,Noatak,67.561164855957,-162.980422973633,88.0,01 19
19,PAWI,msfs_airport,Wainwright,70.6380004882812,-159.994750976562,41.0,06 24
20,PAWT,msfs_airport,Wainwright As,70.6133804321289,-159.8603515625,35.0,06 24
23,PABO,msfs_airport,Point Barrow LRRS Airstrip,71.3391571044922,-156.636215209961,11.0,02 20
24,PABR,msfs_airport,Wiley Post-Will Rogers Memoria,71.2848587036133,-156.768585205078,44.0,08 26
25,PATQ,msfs_airport,Atqasuk Edward Burnell Sr Memorial Airport,70.4671096801758,-157.435668945313,100.0,25 07
26,0AK2,msfs_airport,Cape Simpson,71.0580673217773,-154.738006591797,11.0,23 05
31,AK71,msfs_airport,Lonely As,70.9107437133789,-153.242218017578,17.0,08 26
32,PALP,msfs_airport,Alpine Airstrip,70.3442764282227,-150.944747924805,21.0,21 03
33,AK20,msfs_airport,Cd-3 Airstrip,70.4206237792969,-150.886672973633,7.0,04 22
37,4AK1,msfs_airport,Inigok,70.0038299560547,-153.077575683594,175.0,02 20
38,PAUM,msfs_airport,Umiat,69.3711166381836,-152.134979248047,267.0,06 24
39,PAQT,msfs_airport,Nuiqsut,70.209831237793,-151.006469726563,41.0,23 05
40,PAKP,msfs_airport,Anaktuvuk Pass,68.1336135864258,-151.74333190918,2079.0,02 20
45,PADK,msfs_airport,Adak,51.8835830688477,-176.642486572266,17.0,23 05 18 36
47,UHMD,msfs_airport,Provideniya Bay,64.3780517578125,-173.24333190918,46.0,20 02
49,PAAK,msfs_airport,Atka,52.2205848693848,-174.206192016602,44.0,16 34
51,PAGM,msfs_airport,Gambell,63.7666168212891,-171.732788085937,29.0,16 34
52,PASA,msfs_airport,Savoonga,63.686279296875,-170.4931640625,57.0,05 23
55,PASN,msfs_airport,St Paul Island,57.1663055419922,-170.222549438477,53.0,18 36
56,PAPB,msfs_airport,St George,56.5773620605469,-169.663726806641,125.0,11 29
59,PAKO,msfs_airport,Nikolski As,52.9415550231934,-168.849029541016,60.0,08 26
61,PASH,msfs_airport,Shishmaref,66.2495880126953,-166.08935546875,13.0,23 05
62,PAIW,msfs_airport,Wales,65.62255859375,-168.094970703125,21.0,36 18
63,PATC,msfs_airport,Tin City LRRS,65.5640335083008,-167.922454833984,249.0,16 34
64,3Z1,msfs_airport,Feather River,64.8317260742187,-166.13151550293,325.0,30 12
65,PAPC,msfs_airport,Port Clarence CGS,65.2534561157227,-166.857635498047,5.0,16 34
66,PATE,msfs_airport,Teller,65.2403869628906,-166.339385986328,289.0,26 08
67,PFKT,msfs_airport,Brevig Mission,65.3313293457031,-166.465728759766,36.0,12 30 05 23
68,Z81,msfs_airport,Salmon Lake,64.9090118408203,-165.014709472656,493.0,15 33
77,94Z,msfs_airport,Nome City,64.5114212036133,-165.390228271484,61.0,03 21
78,PAOM,msfs_airport,Nome,64.5125579833984,-165.444381713867,25.0,10 28 03 21
79,Z47,msfs_airport,Basin Creek,64.6790924072266,-165.299194335937,140.0,16 34
83,PACZ,msfs_airport,Cape Romanzof LRRS,61.7810134887695,-166.039581298828,420.0,20 02
84,PAHP,msfs_airport,Hooper Bay,61.523868560791,-166.146621704102,18.0,31 13
85,PACM,msfs_airport,Scammon Bay,61.8445434570312,-165.573745727539,15.0,10 28
